Year,Country,Image url,Region code,Region,Overall Rank,Happiness Score,Happiness Status,GDP per capita,Family,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
2019,Australia,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,9,OCEANIA,11,7.228,Green,1.372,1.548,1.036,0.557,0.332,0.29
2015,Austria,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,150,EUROPE,13,7.2,Green,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676
2016,Austria,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,150,EUROPE,12,7.119,Green,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348
2017,Austria,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,150,EUROPE,13,7.006,Green,1.4871,1.45994,0.815328,0.567766,0.316472,0.22106
2018,Austria,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,150,EUROPE,12,7.139,Green,1.341,1.504,0.891,0.617,0.242,0.224
2019,Austria,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,150,EUROPE,10,7.246,Green,1.376,1.475,1.016,0.532,0.244,0.226
2015,Azerbaijan,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg,142,ASIA,80,5.212,Green,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065
2016,Azerbaijan,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg,142,ASIA,81,5.291,Green,1.12373,0.76042,0.54504,0.35327,0.0564,0.17914
2017,Azerbaijan,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg,142,ASIA,85,5.234,Green,1.1536,1.1524,0.540776,0.398156,0.0452693,0.180988
2018,Azerbaijan,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg,142,ASIA,86,5.201,Green,1.024,1.161,0.603,0.43,0.031,0.176
2019,Azerbaijan,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg,142,ASIA,89,5.208,Green,1.043,1.147,0.769,0.351,0.035,0.182
2015,Bahrain,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg,142,ASIA,49,5.96,Green,1.32376,1.21624,0.74716,0.45492,0.17362,0.306
2016,Bahrain,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg,142,ASIA,42,6.218,Green,1.44024,0.94397,0.65696,0.47375,0.17147,0.25772
2017,Bahrain,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg,142,ASIA,41,6.087,Green,1.48841,1.32311,0.653133,0.536747,0.172668,0.257042
2018,Bahrain,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg,142,ASIA,42,6.105,Green,1.338,1.366,0.698,0.594,0.243,0.123
2019,Bahrain,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg,142,ASIA,37,6.199,Green,1.362,1.368,0.871,0.536,0.255,0.11
2015,Bangladesh,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg,142,ASIA,109,4.694,Green,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569
2016,Bangladesh,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg,142,ASIA,110,4.643,Green,0.54177,0.24749,0.52989,0.39778,0.19132,0.12583
2017,Bangladesh,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg,142,ASIA,110,4.608,Green,0.586683,0.735132,0.533241,0.478357,0.172255,0.123718
2018,Bangladesh,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg,142,ASIA,114,4.5,Green,0.532,0.85,0.579,0.58,0.153,0.144
2019,Bangladesh,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg,142,ASIA,125,4.456,Green,0.562,0.928,0.723,0.527,0.166,0.143
2015,Belarus,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg,150,EUROPE,59,5.813,Green,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909
2016,Belarus,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg,150,EUROPE,61,5.802,Green,1.13062,1.04993,0.63104,0.29091,0.13942,0.17457
2017,Belarus,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg,150,EUROPE,67,5.569,Green,1.15656,1.44495,0.637714,0.2954,0.155138,0.156314
2018,Belarus,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg,150,EUROPE,72,5.483,Green,1.039,1.498,0.7,0.307,0.101,0.154
2019,Belarus,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg,150,EUROPE,81,5.323,Green,1.067,1.465,0.789,0.235,0.094,0.142
2015,Belgium,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,150,EUROPE,19,6.937,Green,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254
2016,Belgium,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,150,EUROPE,18,6.929,Green,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248
2017,Belgium,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,150,EUROPE,17,6.891,Green,1.46378,1.46231,0.818092,0.539771,0.231503,0.251343
2018,Belgium,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,150,EUROPE,16,6.927,Green,1.324,1.483,0.894,0.583,0.188,0.24
2019,Belgium,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,150,EUROPE,18,6.923,Green,1.356,1.504,0.986,0.473,0.16,0.21
2016,Belize,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg,19,AMERICAS,52,5.956,Green,0.87616,0.68655,0.45569,0.51231,0.23684,0.10771
